Name	Abbreviation	GenBank
Human papillomavirus 145	HPV145	HM999997
Human papillomavirus 146	HPV146	HM999998
Human papillomavirus 147	HPV147	HM999999
Human papillomavirus 148	HPV148	GU129016
Human papillomavirus 149	HPV149	GU117629
Human papillomavirus 150	HPV150	FN677755
Human papillomavirus 151	HPV151	FN677756
Human papillomavirus 152	HPV152	JF304768
Human papillomavirus 153	HPV153	JN171845
Human papillomavirus 154	HPV154	JN211193
Human papillomavirus 155	HPV155	JF906559
Human papillomavirus 156	HPV156	JX429973
Human papillomavirus 159	HPV159	HE963025
Human papillomavirus 160	HPV160	AB745694
Human papillomavirus 161	HPV161	JX413109
Human papillomavirus 162	HPV162	JX413108
Human papillomavirus 163	HPV163	JX413107
Human papillomavirus 164	HPV164	JX413106
Human papillomavirus 165	HPV165	JX444072
Human papillomavirus 166	HPV166	JX413104
Human papillomavirus 167	HPV167	KC862318
Human papillomavirus 168	HPV168	KC862317
Human papillomavirus 169	HPV169	JX413105
Human papillomavirus 170	HPV170	JX413110
Human papillomavirus 171	HPV171	KF006398
Human papillomavirus 172	HPV172	KF006399
Human papillomavirus 173	HPV173	KF006400
Human papillomavirus 174	HPV174	HF930491
Human papillomavirus 175	HPV175	KC108721
Human papillomavirus 178	HPV178	KJ130020
Human papillomavirus 179	HPV179	HG421739
Human papillomavirus 180	HPV180	KC108722
Human papillomavirus 184	HPV184	HG530535
Human papillomavirus 197	HPV197	KM085343
Human papillomavirus 199	HPV199	KJ913662
Human papillomavirus -mCG2	HPV-mCG2	JF966378
Human papillomavirus -mCG3	HPV-mCG3	JF966379
Human papillomavirus -mCH2	HPV-mCH2	KF791917
Human papillomavirus -mFD1	HPV-mFD1	JF966375
Human papillomavirus -mFD2	HPV-mFD2	JF966376
Human papillomavirus -mFS1	HPV-mFS1	JF966373
Human papillomavirus -mFi864	HPV-mFi864	KC311731
Human papillomavirus -mKC5	HPV-mKC5	JX444073
Human papillomavirus -mKN1	HPV-mKN1	JF966371
Human papillomavirus -mKN2	HPV-mKN2	JF966372
Human papillomavirus -mKN3	HPV-mKN3	JF966374
Human papillomavirus -mL55	HPV-mL55	KF482069
Human papillomavirus -mRTRX7	HPV-mRTRX7	U85660
Human papillomavirus -mSD2	HPV-mSD2	KC113191
